,type,date,time,location,action,description
0,httpstcolamwclxhf,,,,wish,scary
1,change,,morning,,,new
2,yea,,,,httpstcopexyxyjofm,sure
3,essay,,,,honored,
4,khdradio,,,,,
5,,,,,aftershock,
6,aftershock,,,,feel,
7,sequenc,,,California,,ongoing
8,southwest,,,Rico,go,
9,aftershock,,,,inception,right
10,aftershock,,,Rico,hit,
11,httpstcowWCdsvDV,,,Rico,hit,
12,httpstcoxemfDKo,,,,hit,
13,extention,,,,come,mild
14,aftershock,,,Rico,hit,
15,httpstcovljttzr,,,,,yellow
16,httpstcommxxzwbpaf,,,Rico,hit,
17,,,,,pray,
18,aftershock,,,Rico,hit,
19,,,,,,
20,aftershock,,,,httpstcoazoizicsde,
21,superzero,,,,look,close
22,aftershock,,,,feel,small
23,httpstcobYIBfpLHYg,,,,go,informed
24,httpstcogzctyroxs,,,Rico,feel,good
25,powerupau,,,,httpstcopWNqVArr,
26,httpstcohhfjqnlet,,,Worker,go,viral
27,table,,night,,live,terrible
28,httpstcoeokphshnr,,,,need,calm
29,aftershock,,,,set,
30,aftershock,,,,obv,other
31,shock,,,MM,say,main
32,nonsen,ago,,,say,
33,beat,,,,recover,lyrical
34,httpstcoabzdkqocpv,,,Apex,re,separate
35,aftershock,,,,set,
36,end,,,,ask,
37,event,,,,include,seismic
38,httpstcopthvptak,,,Rico,hit,
39,thou,,,Rico,,
40,,,,,give,
41,governor,,,,save,young
42,increase,,morning,,estimate,
43,httpstco,,,,post,english
44,People,,night,Rico,po,
45,ground,,,,prefer,
46,power,,,,do,
47,aftershock,,,Rico,forecast,
48,beat,,,,recover,lyrical
49,httpstcousholbto,,,,,
50,httpstcohoyzokulx,,,,propagate,fraudthe
51,airline,,,,,
52,httpstcofcjGSl,,,India,,
53,o,,,,BRASILPREVISTO,
54,line,,,,,fast
55,pos,,,,stay,upbeat
56,argument,,,,make,similar
57,httpstcobtuqezr,,,,,
58,period,,,,,
59,depois,,,,minha,
60,,,,,,
61,thegodparticle,,,,,
62,,,,India,,
63,der,,,Arica,localizado,
64,depois,,,,minha,
65,pos,,,,stay,upbeat
66,httpstcojvrsdufhe,,,India,,
67,,,,,pollen,
68,thegodparticle,,,,,
69,pos,,,,stay,upbeat
70,imkimaaron,,,Tsunami,,
71,rate,,,Bihar,fall,alarming
72,hundal,,,,,
73,o,,,,,
74,road,,,,show,resulted
75,httpstcourypkcciw,,,,warn,financial
76,der,,,Arica,localizado,
77,depois,,,,minha,
78,podra,,,alguna,existir,
79,maestra,,,,para,
80,depois,,,,minha,
81,renen,,,,localizado,
82,way,,,Tsunami,,watershed
83,hundal,,,,,
84,pos,,,,stay,upbeat
85,ver,,,,,
86,way,,,,find,weird
87,rate,,,Bihar,fall,alarming
88,,,,kegiatan,,ritual
89,thegodparticle,,,,,
90,depois,,,,minha,
91,karajlahoria,,,,,hundal
92,httpstcolboylqobzw,,,,,
93,pos,,,,stay,upbeat
94,httpstcocqmumqtax,,,,expect,
95,period,,,,,
96,,,,,,
