,type,date,time,location,action,description
0,bed,,,,wish,scary
1,change,,morning,,,new
2,,,,,kill,sure
3,essay,,,,,
4,khdradio,,,,,
5,aftershock,,,,come,
6,aftershock,,,,feel,
7,sequenc,,,California,,ongoing
8,southwest,,,Rico,go,
9,aftershock,,,,,right
10,aftershock,,,Rico,hit,
11,aftershock,,,Rico,hit,
12,,,,,hit,
13,extention,,,,come,mild
14,aftershock,,,Rico,hit,
15,shino,,,,,yellow
16,aftershock,,,Rico,hit,
17,,,,,pray,
18,aftershock,,,Rico,hit,
19,,,,,,
20,aftershock,,,,kill,
21,superzero,,,,look,close
22,aftershock,,,,feel,small
23,aftershock,,,,go,engaged
24,people,,,Rico,feel,good
25,powerupau,,,,,
26,aftershock,,,Worker,go,viral
27,table,,night,,live,terrible
28,,,,,need,calm
29,aftershock,,,,set,
30,aftershock,,,,obv,
31,shock,,,MM,say,main
32,nonsen,ago,,,say,
33,beat,,,,recover,lyrical
34,theory,,,Apex,,separate
35,aftershock,,,,set,
36,end,,,,ask,
37,event,,,,include,seismic
38,aftershock,,,Rico,hit,
39,thou,,,Rico,,
40,,,,,give,
41,governor,,,,save,young
42,increase,,morning,,,
43,scenario,,,,post,
44,po,,night,Rico,go,
45,ground,,,,prefer,
46,power,,,,,
47,aftershock,,,Rico,forecast,
48,beat,,,,recover,lyrical
49,shutupjenifer,,,,,
50,tsunami,,,,propagate,
51,airline,,,,,
52,konsis,,,India,,
53,ianemeneze,,,,PARA,
54,line,,,,,fast
55,pos,,,,stay,upbeat
56,argument,,,,bu,similar
57,thegodparticle,,,,,
58,period,,,,,
59,depois,,,,minha,
60,,,,,,
61,thegodparticle,,,,,
62,,,,India,,
63,der,,,Arica,localizado,
64,depois,,,,minha,
65,pos,,,,stay,upbeat
66,,,,India,,
67,pollen,,,,allergic,
68,thegodparticle,,,,,
69,pos,,,,stay,upbeat
70,imkimaaron,,,Tsunami,,
71,rate,,,Bihar,fall,alarming
72,hundal,,,,,
73,,,,,,
74,road,,,,show,resulted
